Player,Season,MatchesPlayed,GoalsScored,Assists,YellowCards,RedCards,Penalty,MinutesPlayed
robert lewandowski,2021/2022,6,10,0,0,0,0,511
robert lewandowski,2020/2021,46,51,10,5,0,10,3793
robert lewandowski,2019/2020,59,63,12,7,0,8,5134
robert lewandowski,2018/2019,52,42,11,6,0,7,4507
robert lewandowski,2017/2018,56,45,4,6,0,7,4321
robert lewandowski,2016/2017,50,43,8,5,0,10,4200
robert lewandowski,2015/2016,69,56,6,6,0,2,5670
robert lewandowski,2014/2015,50,27,8,1,0,1,4033
robert lewandowski,2013/2014,48,28,8,6,0,5,4162
robert lewandowski,2012/2013,49,36,7,4,1,2,4113
robert lewandowski,2011/2012,47,30,11,5,0,0,4028
robert lewandowski,2010/2011,43,9,1,5,0,0,1958
robert lewandowski,2009/2010,32,20,0,5,0,0,2887
thomas muller,2021/2022,5,2,2,0,0,0,372
thomas muller,2020/2021,51,16,20,2,0,3,4107
thomas muller,2019/2020,51,14,25,6,0,0,3559
thomas muller,2018/2019,52,9,12,2,1,1,3567
thomas muller,2017/2018,52,16,16,6,0,0,3512
thomas muller,2016/2017,47,11,15,0,0,0,3247
thomas muller,2015/2016,69,42,13,7,0,8,5393
thomas muller,2014/2015,49,21,14,2,0,7,3642
thomas muller,2013/2014,56,31,13,3,0,7,4018
thomas muller,2012/2013,47,23,15,2,0,4,3570
thomas muller,2011/2012,53,11,14,3,0,0,3884
thomas muller,2010/2011,47,18,15,2,0,0,3851
thomas muller,2009/2010,58,24,13,7,1,0,4484
thomas muller,2008/2009,4,0,0,0,0,0,28
joshua kimmich,2021/2022,8,0,2,1,0,0,676
joshua kimmich,2020/2021,45,6,17,7,0,0,3804
joshua kimmich,2019/2020,61,7,17,13,0,0,5255
joshua kimmich,2018/2019,57,2,19,10,0,0,4971
joshua kimmich,2017/2018,56,6,15,4,0,0,4660
joshua kimmich,2016/2017,47,10,4,2,0,0,2690
joshua kimmich,2015/2016,43,0,2,7,0,0,2982
joshua kimmich,2014/2015,29,2,1,4,0,0,2268
joshua kimmich,2013/2014,26,1,0,7,0,0,2084
serge gnabry,2021/2022,8,3,4,0,0,0,586
serge gnabry,2020/2021,46,13,3,5,0,0,2963
serge gnabry,2019/2020,55,31,15,3,0,0,4065
serge gnabry,2018/2019,47,15,9,1,0,0,2859
serge gnabry,2017/2018,31,11,7,0,0,0,1997
serge gnabry,2016/2017,27,11,1,1,0,1,1970
serge gnabry,2015/2016,10,6,0,1,0,0,658
serge gnabry,2013/2014,17,5,0,0,0,0,982
serge gnabry,2012/2013,4,0,0,0,0,0,93
lucas holer,2021/2022,4,1,2,1,0,0,321
lucas holer,2020/2021,35,4,4,5,0,0,2176
lucas holer,2019/2020,36,8,2,4,0,0,2552
lucas holer,2018/2019,28,4,0,1,0,0,1022
lucas holer,2017/2018,31,9,1,1,0,1,2395
lucas holer,2016/2017,34,6,4,7,0,0,2651
lucas holer,2015/2016,37,11,0,5,0,1,2762
lucas holer,2014/2015,26,10,0,2,0,0,1612
lucas holer,2013/2014,34,9,0,2,0,1,1872
ermedin demirovic,2021/2022,5,0,0,2,0,0,49
ermedin demirovic,2020/2021,39,5,8,10,0,0,2140
ermedin demirovic,2019/2020,28,14,6,9,1,0,2270
ermedin demirovic,2018/2019,37,7,1,11,1,1,2353
ermedin demirovic,2017/2018,6,4,1,0,0,0,342
ermedin demirovic,2016/2017,26,15,0,5,0,1,2196
ermedin demirovic,2015/2016,23,9,0,1,0,0,812
ermedin demirovic,2014/2015,8,3,0,0,0,0,154
roland sallai,2021/2022,6,3,1,0,0,0,351
roland sallai,2020/2021,34,9,5,5,0,1,2109
roland sallai,2019/2020,29,2,0,2,0,0,1812
roland sallai,2018/2019,21,4,1,5,0,0,1386
roland sallai,2017/2018,38,9,0,9,0,0,2575
roland sallai,2016/2017,24,1,0,6,1,0,1125
roland sallai,2015/2016,34,1,0,6,0,0,2500
roland sallai,2014/2015,16,2,0,2,0,0,532
vincenzo grifo,2021/2022,5,1,0,0,0,0,295
vincenzo grifo,2020/2021,34,9,10,3,0,4,2554
vincenzo grifo,2019/2020,32,6,11,2,1,2,1963
vincenzo grifo,2018/2019,26,7,6,1,0,2,1883
vincenzo grifo,2017/2018,19,0,3,0,0,0,838
vincenzo grifo,2016/2017,32,9,9,1,0,2,2618
vincenzo grifo,2015/2016,32,14,11,4,0,1,2670
vincenzo grifo,2014/2015,35,7,8,2,0,1,2969
vincenzo grifo,2013/2014,21,5,0,3,1,2,1511
vincenzo grifo,2012/2013,25,5,1,0,0,0,1233
jonathan schmid,2021/2022,3,1,0,0,0,0,270
jonathan schmid,2020/2021,33,3,2,4,0,0,2576
jonathan schmid,2019/2020,35,5,1,1,0,0,3019
jonathan schmid,2018/2019,29,3,7,1,0,0,2610
jonathan schmid,2017/2018,26,0,0,1,0,0,1557
jonathan schmid,2016/2017,26,1,3,1,0,0,1730
jonathan schmid,2015/2016,24,4,0,1,0,0,1543
jonathan schmid,2014/2015,37,5,8,2,0,0,3121
jonathan schmid,2013/2014,33,4,9,3,0,0,2801
jonathan schmid,2012/2013,38,12,4,0,0,0,3337
jonathan schmid,2011/2012,22,1,2,1,0,0,1937
jonathan schmid,2010/2011,1,0,0,0,0,0,22
nicolas hofler,2021/2022,4,0,0,1,0,0,316
nicolas hofler,2020/2021,33,1,3,11,0,0,2909
nicolas hofler,2019/2020,33,1,0,9,0,0,2875
nicolas hofler,2018/2019,21,0,0,8,0,0,1886
nicolas hofler,2017/2018,31,1,3,9,1,0,2612
nicolas hofler,2016/2017,29,1,1,7,0,0,2457
nicolas hofler,2015/2016,35,2,2,5,0,0,3097
nicolas hofler,2014/2015,22,0,0,2,0,0,1513
nicolas hofler,2013/2014,24,3,0,9,1,1,1423
nicolas hofler,2012/2013,29,0,0,5,0,0,2202
nicolas hofler,2011/2012,14,1,0,5,0,0,835
nicolas hofler,2010/2011,0,0,0,0,0,0,0
maximilian eggestein,2021/2022,6,1,0,1,0,1,408
maximilian eggestein,2020/2021,38,2,6,5,0,0,3393
maximilian eggestein,2019/2020,38,1,4,6,0,0,3396
maximilian eggestein,2018/2019,50,7,7,4,0,0,4424
maximilian eggestein,2017/2018,37,3,3,4,0,0,3019
maximilian eggestein,2016/2017,28,3,0,4,0,1,1942
maximilian eggestein,2015/2016,17,1,0,1,0,0,991
maximilian eggestein,2014/2015,35,4,0,5,0,0,2498
maximilian eggestein,2013/2014,24,8,0,7,0,1,2023
jacob bruun larsen,2021/2022,4,2,0,0,0,0,296
jacob bruun larsen,2020/2021,32,5,8,1,0,1,1626
jacob bruun larsen,2019/2020,21,0,2,0,0,0,618
